source,label,URL,code
baseline_data,smoker,http://purl.bioontology.org/ontology/SNOMEDCT/77176002,77176002
blood_data,systolic,http://purl.bioontology.org/ontology/SNOMEDCT/271649006,271649006
blood_data,diastolic,http://purl.bioontology.org/ontology/SNOMEDCT/271650006,271650006
blood_data,erythrocytes,http://purl.bioontology.org/ontology/SNOMEDCT/397063002,397063002
blood_data,hemoglobin,http://purl.bioontology.org/ontology/SNOMEDCT/250220000,250220000
blood_data,hematocrit,http://purl.bioontology.org/ontology/SNOMEDCT/365616005,365616005
blood_data,wbc,http://purl.bioontology.org/ontology/SNOMEDCT/767002,767002
blood_data,platelets,http://purl.bioontology.org/ontology/SNOMEDCT/277201004,277201004
blood_data,glucose,http://purl.bioontology.org/ontology/SNOMEDCT/365811003,365811003
blood_data,potassium,http://purl.bioontology.org/ontology/SNOMEDCT/365760004,365760004
blood_data,urea,http://purl.bioontology.org/ontology/SNOMEDCT/365755003,365755003
blood_data,creatine,http://purl.bioontology.org/ontology/SNOMEDCT/14804005,14804005
blood_data,crp,http://purl.bioontology.org/ontology/SNOMEDCT/55235003,55235003
blood_data,chol,http://purl.bioontology.org/ontology/SNOMEDCT/365793008,365793008
blood_data,hdl,http://purl.bioontology.org/ontology/SNOMEDCT/166832000,166832000
blood_data,ldl,http://purl.bioontology.org/ontology/SNOMEDCT/166833005,166833005
quest_data,anxiety,http://purl.bioontology.org/ontology/SNOMEDCT/197480006,197480006
quest_data,sleep,http://purl.bioontology.org/ontology/SNOMEDCT/44186003,44186003
quest_data,alcohol,http://purl.bioontology.org/ontology/SNOMEDCT/365967005,365967005
quest_data,fruit,http://purl.bioontology.org/ontology/SNOMEDCT/226452008,226452008
quest_data,vegetable,http://purl.bioontology.org/ontology/SNOMEDCT/226448008,226448008
treat_data,cvscore,http://purl.bioontology.org/ontology/SNOMEDCT/271925006,271925006
treat_data,aspirin,http://purl.bioontology.org/ontology/SNOMEDCT/387458008,387458008
treat_data,clopridrogel,http://purl.bioontology.org/ontology/SNOMEDCT/449681000124101,449681000124101
treat_data,anticlot,http://purl.bioontology.org/ontology/SNOMEDCT/182764009,182764009
treat_data,ezetimibe,http://purl.bioontology.org/ontology/SNOMEDCT/409149001,409149001
treat_data,statins,http://purl.bioontology.org/ontology/SNOMEDCT/315053001,315053001
treat_data,ace,http://purl.bioontology.org/ontology/SNOMEDCT/41549009,41549009
diag_data,DE10,http://purl.bioontology.org/ontology/SNOMEDCT/73211009,73211009
diag_data,BZFC8A,http://purl.bioontology.org/ontology/SNOMEDCT/38341003,38341003
diag_data,DE782,http://purl.bioontology.org/ontology/SNOMEDCT/55822004,55822004
